cpu_percent,read_count,write_count

0.0,471112,454343
75.9,471112,454355
30.8,471112,454356
33.8,471112,454356
26.5,471112,454356
27.4,471112,454437
48.0,471119,454539
86.7,471119,454539
88.3,471119,454539
90.0,471119,454539
90.5,471119,454539
88.3,471119,454539
90.1,471119,454541
88.6,471119,454542
82.7,471119,454542
79.0,471119,454543
76.4,471119,454543
79.5,471119,454544
79.0,471125,454544
76.2,471127,454544
78.9,471127,454544
77.7,471127,454544
77.6,471127,454544
79.4,471127,454547
78.2,471127,454563
78.2,471127,454574
75.6,471127,454577
76.0,471127,454577
80.1,471127,454577
74.1,471127,454577
75.6,471127,454577
30.5,471129,454587
3.0,471129,454588
5.4,471129,454588
5.1,471129,454633
6.0,471129,454643
7.0,471129,454643
41.5,471132,454646
80.6,471132,454646
74.6,471132,454646
79.7,471132,454646
79.0,471132,454647
78.2,471153,454647
76.6,471154,454647
77.4,471154,454647
75.6,471154,454648
78.8,471154,454649
77.6,471154,454649
79.8,471154,454651
76.8,471154,454651
76.4,471154,454651
76.8,471154,454651
77.9,471154,454651
78.7,471169,454651
78.1,471169,454651
81.3,471169,454651
89.2,471170,454653
88.4,471170,454653
87.3,471170,454653
87.8,471170,454655
88.6,471170,454655
78.9,471170,454655
31.0,471170,454666
29.5,471170,454666
25.1,471170,454666
29.1,471170,454666
29.5,471170,454667
30.3,471170,454668
29.8,471170,454709
30.7,471170,454709
26.6,471170,454709
33.5,471170,454709
31.6,471170,454710
31.7,471170,454713
31.1,471170,454713
33.5,471170,454713
33.2,471170,454774
33.0,471170,454774
33.8,471170,454775
37.2,471170,454775
37.1,471170,454775
32.3,471170,454775
27.6,471170,454775
31.7,471170,454775
31.5,471170,454777
35.0,471170,454777
29.3,471170,454777
25.9,471170,454777
33.2,471170,454777
36.0,471170,454778
39.1,471170,454778
35.6,471170,454778
42.9,471170,454778
44.4,471170,454778
29.6,471170,454778
31.5,471170,454781
28.9,471170,454781
27.6,471170,454783
30.0,471170,454783
33.0,471170,454783
29.9,471170,454786
30.2,471170,454786
50.0,471170,454786
46.4,471170,454786
27.6,471170,454786
34.5,471170,454786
36.0,471170,454789
29.0,471170,454823
32.5,471170,454823
27.4,471171,454823
30.5,471171,454823
33.2,471171,454824
29.1,471171,454824
28.5,471171,454824
30.8,471171,454824
29.7,471171,454824
28.0,471171,454826
29.6,471171,454827
30.0,471171,454827
25.1,471171,454827
29.6,471171,454827
30.6,471171,454827
30.5,471179,454828
32.3,471179,454828
32.7,471179,454828
29.5,471179,454828
41.4,471183,454828
49.0,471183,454830
37.2,471183,454830
35.5,471183,454830
43.0,471183,454830
37.6,471183,454830
36.2,471183,454830
36.0,471183,454831
55.7,471183,454831
54.2,471183,454832
38.6,471183,454832
35.5,471183,454835
30.7,471183,454835
38.6,471183,454835
35.1,471183,454835
40.9,471183,454835
39.0,471183,454835
28.6,471183,454835
35.8,471183,454849
30.0,471183,454849
27.3,471183,454849
32.7,471183,454849
36.0,471183,454849
28.7,471183,454849
27.0,471183,454849
25.9,471183,454853
32.0,471183,454853
31.0,471183,454853
26.1,471183,454854
30.3,471183,454854
30.7,471183,454854
26.9,471183,454854
29.3,471183,454854
41.8,471183,454854
25.1,471183,454854
31.2,471183,454854
29.0,471183,454857
26.0,471183,454857
28.5,471183,454857
28.6,471183,454858
25.5,471183,454863
28.5,471183,454863
31.2,471183,454864
26.7,471183,454864
34.8,471183,454864
37.4,471183,454864
33.2,471184,454864
34.2,471184,454864
31.6,471184,454864
29.3,471184,454864
32.3,471184,454865
30.3,471184,454868
29.3,471184,454934
30.6,471184,454937
27.4,471184,454937
27.7,471184,454937
28.5,471184,454937
29.0,471184,454937
29.1,471184,454937
28.9,471184,454937
31.0,471184,454937
29.0,471184,454938
27.5,471184,454941
31.7,471184,454942
30.5,471184,454942
28.0,471184,454942
30.8,471184,454942
29.8,471184,454942
28.9,471184,454942
31.2,471184,454942
52.8,471184,454942
54.3,471184,454942
54.9,471184,454946
49.2,471184,454948
47.4,471184,454948
69.5,471184,454948
59.0,471184,454948
56.6,471184,454948
55.3,471184,454948
49.2,471184,454948
43.0,471184,454948
36.1,471184,454948
47.5,471184,454948
43.9,471184,455005
45.9,471184,455005
44.3,471184,455006
32.5,471184,455006
37.1,471184,455006
41.5,471184,455006
44.4,471184,455006
61.5,471184,455006
0.0,471365,457660
99.5,471367,457673
51.2,471367,457673
36.6,471367,457673
52.3,471367,457673
50.2,471367,457673
51.3,471367,457675
50.5,471367,457675
48.0,471367,457675
50.8,471367,457675
52.3,471367,457675
48.7,471368,457679
35.2,471368,457679
42.4,471368,457679
49.5,471368,457679
59.5,471368,457679
53.6,471368,457680
41.1,471368,457680
56.6,471368,457680
56.1,471369,457681
63.1,471369,457681
50.5,471369,457681
52.2,471369,457684
39.7,471369,457684
60.3,471369,457684
55.1,471369,457684
43.9,471369,457684
42.1,471369,457684
49.5,471369,457684
45.6,471369,457684
61.0,471369,457684
55.8,471370,457684
46.3,471370,457687
60.4,471370,457687
52.8,471370,457687
55.7,471370,457687
66.0,471370,457688
43.9,471370,457688
41.2,471370,457688
35.5,471370,457689
49.7,471372,457689
55.8,471372,457689
53.5,471372,457689
48.2,471372,457692
66.0,471372,457692
56.3,471372,457692
63.9,471372,457693
59.8,471374,457693
57.7,471374,457706
58.0,471374,457706
54.8,471374,457764
50.0,471374,457764
46.6,471374,457764
55.9,471374,457764
63.8,471374,457764
43.1,471374,457764
56.7,471374,457764
55.1,471374,457916
30.4,471374,457916
30.7,471375,457919
42.2,471376,457921
30.8,471378,457962
26.6,471379,457962
33.0,471380,457962
38.0,471380,457962
36.4,471380,457962
33.2,471380,457962
37.1,471381,457964
28.0,471383,457964
27.8,471384,457967
34.0,471384,457968
31.3,471385,457968
27.0,471385,457968
32.5,471385,457968
33.7,471385,457968
34.5,471385,457968
40.0,471385,457968
56.4,471386,457981
63.2,471386,458034
53.4,471387,458034
33.3,471387,458034
40.0,471388,458034
39.6,471388,458034
43.9,471388,458034
52.7,471388,458034
49.5,471388,458034
58.3,471390,458034
56.3,471390,458034
52.8,471390,458038
57.6,471393,458038
46.2,471393,458038
45.3,471393,458038
61.9,471393,458038
54.7,471393,458038
58.0,471393,458038
56.3,471393,458038
39.6,471393,458038
49.5,471393,458038
60.2,471393,458041
56.3,471393,458041
55.1,471393,458041
48.2,471393,458041
56.0,471393,458041
59.1,471393,458041
56.0,471395,458041
57.5,471398,458041
52.3,471400,458041
54.8,471400,458041
50.0,471400,458041
40.8,471400,458092
39.2,471400,458092
35.6,471400,458092
34.3,471400,458092
32.8,471400,458092
41.3,471400,458092
57.2,471400,458092
61.3,471400,458092
61.5,471405,458092
32.8,471419,458092
45.7,471419,458095
62.7,471419,458095
60.4,471419,458095
54.8,471419,458095
52.9,471419,458095
28.1,471419,458095
26.6,471419,458095
32.7,471419,458095
27.6,471421,458095
28.1,471421,458095
30.7,471421,458095
27.5,471422,458098
30.2,471422,458098
39.2,471423,458099
36.5,471423,458099
35.6,471424,458099
48.6,471424,458099
51.4,471425,458099
59.0,471425,458099
58.6,471425,458099
52.2,471425,458099
48.0,471425,458102
54.9,471425,458102
62.5,471425,458102
46.5,471445,458104
51.3,471445,458105
55.3,471445,458105
37.2,471445,458105
34.3,471447,458105
35.6,471447,458105
38.6,471447,458105
45.1,471447,458105
43.8,471448,458108
49.0,471448,458108
45.6,471448,458174
56.9,471448,458208
43.3,471448,458208
41.5,471448,458208
45.2,471448,458208
40.3,471448,458208
34.0,471448,458208
42.9,471448,458209
45.2,471448,458209
45.5,471448,458209
43.7,471448,458209
39.2,471448,458209
72.2,471448,458212
42.2,471448,458212
30.5,471448,458212
28.5,471449,458226
35.9,471449,458229
39.5,471449,458233
30.9,471449,458233
41.9,471449,458233
42.1,471453,458234
45.8,471453,458237
42.6,471453,458237
36.7,471453,458237
45.4,471453,458237
36.7,471453,458237
32.1,471453,458237
34.0,471453,458237
50.9,471453,458237
45.2,471453,458237
37.7,471453,458340
42.6,471467,458340
35.6,471468,458342
34.4,471468,458342
36.2,471468,458342
35.3,471468,458346
42.8,471468,458349
38.2,471468,458349
49.8,471468,458349
46.5,471468,458349
36.0,471468,458352
53.1,471468,458374
40.4,471468,458374
47.3,471468,458374
41.1,471468,458374
56.8,471468,458374
43.6,471468,458374
37.9,471468,458374
38.9,471469,458374
42.6,471469,458374
41.8,471469,458375
42.5,471470,458376
34.8,471471,458379
29.1,471471,458380
36.9,471479,458380
43.7,471479,458380
36.3,471479,458380
26.9,471479,458380
28.6,471479,458380
33.5,471479,458380
27.3,471479,458381
49.5,471481,458385
86.4,471481,458389
90.5,471481,458389
88.5,471481,458389
92.1,471481,458389
90.0,471481,458389
90.0,471481,458389
87.1,471481,458389
92.5,471482,458389
92.1,471482,458389
89.9,471483,458480
86.0,471489,458480
91.0,471489,458482
89.4,471489,458482
88.1,471489,458482
88.1,471489,458482
87.4,471489,458483
89.4,471489,458483
87.4,471489,458483
89.1,471489,458483
88.7,471489,458483
89.4,471489,458483
90.8,471489,458486
89.0,471489,458486
76.2,471489,458486
75.2,471489,458486
77.8,471489,458486
78.5,471489,458486
76.8,471489,458486
77.5,471489,458486
51.8,471492,458490
10.1,471492,458502
11.4,471492,458502
7.0,471492,458514
3.0,471492,458514
2.5,471492,458514
11.5,471492,458514
18.8,471492,458514
24.8,471492,458514
16.5,471492,458514
20.8,471492,458551
31.2,471492,458551
17.6,471492,458551
20.3,471492,458551
31.1,471492,458553
22.0,471492,458553
6.0,471493,458553
4.4,471493,458553
7.1,471494,458553
7.0,471495,458553
3.5,471495,458553
55.6,471500,458556
80.2,471500,458559
77.2,471500,458559
78.9,471500,458561
80.8,471500,458561
78.8,471500,458561
78.8,471500,458561
77.4,471502,458561
74.7,471502,458561
78.7,471503,458561
82.6,471503,458602
76.1,471503,458602
79.6,471503,458602
76.0,471503,458602
72.8,471503,458608
8.6,471503,458620
8.5,471503,458620
6.0,471503,458620
32.7,471504,458620
38.3,471504,458620
32.0,471504,458620
31.3,471504,458620
37.5,471504,458661
32.8,471504,458662
31.2,471504,458698
33.2,471504,458698
26.5,471504,458698
27.5,471504,458698
46.5,471504,458698
27.0,471504,458698
32.8,471504,458698
31.8,471504,458698
27.2,471506,458716
28.0,471507,458718
40.8,471507,458718
41.0,471509,458718
34.2,471509,458718
36.3,471509,458718
35.1,471509,458718
40.3,471509,458718
38.3,471516,458718
44.8,471521,458724
49.8,471523,458733
39.5,471523,458733
42.9,471523,458733
45.5,471523,458733
37.6,471523,458733
39.9,471523,458733
37.4,471523,458733
48.3,471523,458733
44.3,471523,458733
36.2,471523,458735
34.0,471523,458738
36.0,471523,458789
31.3,471523,458789
30.3,471523,458789
37.1,471523,458790
30.2,471524,458790
30.7,471524,458790
35.8,471524,458790
30.8,471524,458790
41.1,471524,458791
34.3,471525,458791
34.8,471525,458795
29.0,471526,458795
33.7,471527,458795
32.5,471527,458795
30.7,471527,458795
37.0,471527,458795
38.8,471527,458811
30.8,471527,458817
34.8,471527,458819
29.7,471527,458819
31.2,471527,458819
28.9,471527,458819
35.2,471527,458819
51.5,471527,458819
41.2,471527,458819
37.3,471530,458819
34.7,471530,458819
30.3,471530,458822
37.3,471530,458822
37.9,471530,458823
38.3,471530,458829
49.0,471530,458842
26.9,471530,458843
37.1,471530,458843
47.7,471530,458843
50.0,471530,458843
47.5,471530,458843
34.8,471530,458860
39.4,471530,458860
41.9,471530,458860
33.8,471530,458860
30.5,471530,458860
31.5,471530,458860
30.8,471530,458860
31.3,471530,458860
32.3,471530,458860
27.7,471530,458860
30.8,471530,458863
30.2,471530,458863
27.7,471530,458863
26.4,471530,458863
30.7,471530,458863
25.5,471530,458863
27.4,471530,458863
30.7,471530,458863
28.7,471530,458863
26.1,471530,458863
32.5,471530,458866
27.1,471530,458866
29.6,471530,458866
31.2,471530,458866
26.8,471530,458866
30.5,471530,458866
31.2,471530,458867
32.2,471530,458867
28.7,471530,458867
26.1,471530,458867
31.8,471530,458869
26.4,471530,458869
27.5,471530,458869
31.3,471530,458869
26.5,471530,458869
30.8,471530,458869
32.5,471530,458936
26.9,471530,458936
26.0,471530,458936
31.8,471530,458936
26.4,471530,458936
28.4,471530,458938
32.3,471530,458938
27.0,471530,458938
37.4,471530,458938
29.4,471530,458938
32.8,471530,458939
28.1,471530,458939
33.2,471530,458939
29.8,471530,458939
26.0,471530,458939
29.1,471530,458942
32.4,471530,458942
26.6,471530,458944
31.2,471530,458944
32.7,471530,458944
29.7,471530,458944
31.0,471530,458949
31.3,471530,458949
29.4,471530,458953
30.7,471530,458953
30.7,471530,458953
29.2,471530,458953
35.2,471530,458955
34.3,471530,458955
30.8,471530,458955
26.5,471530,458956
30.3,471530,458957
27.8,471530,458957
28.1,471530,458957
29.5,471530,458959
37.5,471530,458959
32.7,471530,458959
30.8,471530,458959
27.3,471530,458965
30.0,471530,458965
28.5,471530,458965
36.3,471530,458966
32.3,471530,458966
29.4,471530,458966
27.2,471530,458966
28.3,471530,458966
27.6,471530,458966
27.2,471530,458966
29.9,471530,458968
29.1,471530,458970
26.6,471530,458970
29.2,471530,458971
28.1,471530,458971
27.2,471530,458971
27.4,471530,458971
30.3,471530,458971
25.6,471530,458971
27.7,471530,458971
31.3,471531,458971
27.9,471531,458973
26.3,471531,458973
37.5,471531,458974
30.8,471531,458974
29.0,471531,458974
31.3,471531,458974
29.4,471531,458975
31.3,471531,458975
37.3,471531,458975
29.3,471531,458975
35.5,471531,458978
27.1,471531,458978
29.0,471531,458978
26.5,471531,459056
28.2,471531,459056
31.2,471531,459057
25.7,471531,459057
26.6,471531,459057
33.5,471531,459057
31.3,471531,459058
28.9,471531,459058
34.0,471531,459061
28.5,471531,459061
28.4,471531,459062
34.7,471531,459062
27.6,471532,459062
27.0,471532,459062
31.7,471532,459062
28.6,471532,459062
38.4,471537,459062
29.5,471537,459062
28.4,471537,459065
27.5,471537,459065
28.9,471537,459069
28.1,471537,459069
26.0,471537,459069
29.5,471537,459071
29.1,471537,459071
26.5,471537,459071
27.7,471537,459071
30.2,471537,459071
25.9,471537,459071
26.5,471537,459074
31.2,471537,459075
25.5,471537,459075
26.5,471537,459075
28.9,471537,459075
30.0,471537,459075
30.7,471537,459075
29.1,471537,459075
28.7,471537,459075
25.1,471537,459075
29.1,471537,459078
29.2,471537,459078
26.6,471537,459079
32.5,471537,459079
37.6,471537,459079
28.0,471537,459079
30.2,471537,459079
28.6,471537,459079
27.5,471537,459079
33.8,471537,459079
26.6,471537,459079
37.8,471537,459081
44.1,471537,459082
54.7,471537,459082
55.5,471537,459082
47.5,471537,459082
33.5,471537,459082
33.3,471537,459082
34.5,471537,459082
41.2,471537,459082
23.5,471537,459082
32.7,471537,459085
24.1,471537,459086
21.3,471537,459086
23.2,471537,459086
21.0,471537,459086
10.9,471537,459086
27.6,471537,459090
25.5,471537,459101
25.7,471537,459103
13.0,471537,459103
27.7,471537,459103
29.2,471537,459168
27.9,471538,459168
25.3,471538,459168
23.7,471538,459168
22.6,471538,459168
24.6,471538,459168
24.3,471538,459170
23.5,471538,459170
26.3,471538,459170
26.2,471538,459171
21.9,471538,459172
34.7,471538,459172
22.1,471538,459172
24.0,471538,459172
28.1,471538,459172
28.6,471538,459172
24.6,471538,459172
27.8,471538,459174
11.1,471538,459174
22.6,471538,459174
24.0,471538,459174
26.4,471538,459178
27.7,471538,459178
37.9,471538,459178
30.7,471538,459178
28.4,471538,459178
32.7,471538,459178
54.2,471538,459178
50.5,471538,459178
50.5,471542,459178
46.0,471542,459178
47.7,471542,459234
56.1,471542,459234
53.5,471542,459234
33.7,471542,459234
32.3,471542,459234
54.8,471542,459234
53.5,471542,459234
48.5,471542,459234
56.2,471543,459234
57.5,471543,459234
34.3,471543,459234
29.3,471543,459237
29.6,471543,459237
26.9,471543,459237
31.7,471543,459237
45.0,471543,459237
52.5,471543,459237
58.7,471543,459237
46.2,471543,459237
49.2,471543,459237
49.0,471543,459237
34.7,471543,459240
30.8,471543,459240
31.5,471543,459240
37.9,471543,459240
30.5,471543,459240
65.3,471543,459240
44.1,471543,459241
28.1,471543,459241
34.2,471543,459241
34.0,471543,459245
28.1,471543,459248
30.7,471543,459248
33.8,471543,459248
33.3,471544,459249
30.8,471544,459249
33.8,471544,459252
32.3,471544,459252
28.5,471544,459258
30.0,471544,459258
31.2,471544,459258
38.9,471544,459258
31.2,471544,459258
32.4,471544,459258
40.0,471544,459258
47.7,471544,459258
34.8,471544,459258
39.3,471544,459273
32.7,471545,459273
36.5,471545,459273
43.6,471545,459273
32.5,471545,459273
38.9,471545,459273
35.4,471545,459273
39.1,471545,459273
27.0,471545,459273
29.5,471545,459273
30.7,471545,459275
29.4,471545,459278
27.1,471545,459278
30.2,471545,459278
32.2,471545,459278
28.0,471545,459280
32.5,471545,459280
32.7,471545,459280
28.1,471545,459280
27.7,471545,459280
29.9,471545,459280
26.3,471545,459283
